CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@TUYỂN NHÂN VIÊN TƯ VẤN TÀI CHÍNH (TELESALE)@04/04/2021@['Chăm sóc khách hàng', 'Telesales', 'Tư vấn']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@TUYỂN NHÂN VIÊN TƯ VẤN TÀI CHÍNH@04/04/2021@['Chăm sóc khách hàng', 'Tư vấn', 'Telesales']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@TUYỂN NHÂN VIÊN TƯ VẤN TÍN DỤNG - CHI NHÁNH TÂN BÌNH@06/04/2021@['Chăm sóc khách hàng', 'Tư vấn', 'Telesales']@15 - 20 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@TUYỂN NHÂN VIÊN TƯ VẤN TÀI CHÍNH - LÀM VIỆC TẠI QUẬN TÂN BÌNH@07/04/2021@['Chăm sóc khách hàng', 'Telesales', 'Tài chính']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
Bất Động Sản Thiên Sơn@Hà Nội@Tuyển Nhân Viên Kinh Doanh Bất Động Sản thu nhập ít nhất 100 triệu căn@07/04/2021@KD bất động sản@Trên 100 triệu@Không yêu cầu@Không yêu cầu@Không yêu cầu
Công Ty Tnhh Sx Và Tm Trung Dũng@Hà Nội@Nhân viên kế hoạch sản xuất@07/04/2021@['Sản xuất - Vận hành sản xuất', 'Thống kê', 'Hành chính - Văn phòng']@7 - 10 triệu@Không yêu cầu@Cao đẳng trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@NHÂN VIÊN TƯ VẤN GÓI VAY TÍN CHẤP - TÂN BÌNH@07/04/2021@['Chăm sóc khách hàng', 'Telesales', 'Tư vấn']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@TUYỂN NHÂN VIÊN CHĂM SÓC KHÁCH HÀNG TƯ VẤN TÀI CHÍNH@08/04/2021@['Chăm sóc khách hàng', 'Telesales', 'Tư vấn']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@NHÂN VIÊN TƯ VẤN CHĂM SÓC KHÁCH HÀNG@09/04/2021@['Chăm sóc khách hàng', 'Telesales', 'Tài chính']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@NHÂN VIÊN TƯ VẤN TÀI CHÍNH TELESALE@09/04/2021@['Chăm sóc khách hàng', 'Tư vấn', 'Telesales']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
Công ty TNHH KPP Zipper VN@Tây Ninh@Nhân viên bảo trì điện@09/04/2021@Bảo trì@Thỏa thuận@1 - 2 năm kinh nghiệm@Không yêu cầu@Nam
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@TUYỂN NHÂN VIÊN TƯ VẤN TÀI CHÍNH ( THU NHẬP 12 - 35 TRIỆU THÁNG)@10/04/2021@['Chăm sóc khách hàng', 'Telesales', 'Tư vấn']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY CỔ PHẦN ĐẦU TƯ KINH DOANH ĐỊA ỐC TIẾN TRẦN GROUP@Hồ Chí Minh@Giám Đốc Sàn@10/04/2021@KD bất động sản@20 - 30 triệu@2 - 5 năm kinh nghiệm@Không yêu cầu@Nam
Công Ty Cổ Phần Phát Triển Đầu Tư Bất Động Sản Tân Hoàng Gia@Hà Nội@Chuyên Viên Kinh Doanh Bđs Thổ Cư Lương Cứng Lên Đến 6Tr, Hh Tối Thiểu 40Tr Vụ@10/04/2021@['KD bất động sản', 'Sinh viên mới tốt nghiệp - Thực tập', 'Nhân viên kinh doanh']@Trên 50 triệu@Không yêu cầu@Không yêu cầu@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@TUYỂN NHÂN VIÊNT TƯ VẤN CSKH TELESALE@12/04/2021@['Chăm sóc khách hàng', 'Telesales', 'Tư vấn']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
Bluebelt Vietnam@Hà Nội@Chuyên viên tư vấn cấp cao - Thu nhập trên 20 triệu@12/04/2021@['Chăm sóc khách hàng', 'Nhân viên kinh doanh', 'Tư vấn']@10 - 15 triệu@Không yêu cầu@Không yêu cầu@Không yêu cầu
Công Ty Cổ Phần Công Nghệ Supersoft@Đồng Nai@QUẢN LÝ KINH DOANH NỘI THẤT VÀ TỦ BẾP (THU NHẬP TỐT THƯỞNG DOANH SỐ)@12/04/2021@['Kiến trúc - Tk nội thất', 'Quản trị kinh doanh']@Thỏa thuận@1 - 2 năm kinh nghiệm@Không yêu cầu@Không yêu cầu
Công ty Minh Minh@Hà Nội@Nhân viên Nữ phục vụ bàn, PR, PG và CSKH@12/04/2021@['Sinh viên làm thêm', 'Việc làm bán hàng']@20 - 30 triệu@Không yêu cầu@Không yêu cầu@Nữ
GO FIRST ENGLISH CENTER 11@Lâm Đồng@(tại Bảo Lộc, Lâm Đồng) GIÁO VIÊN TIẾNG ANH@13/04/2021@Giáo dục - Đào tạo@7 - 10 triệu@0 - 1 năm kinh nghiệm@Cao đẳng trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@CẦN TUYỂN NHÂN VIÊN TƯ VẤN TÀI CHÍNH@13/04/2021@['Chăm sóc khách hàng', 'Telesales', 'Tư vấn']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@TUYỂN TELESALE NHÂN VIÊN TƯ VẤN TÀI CHÍNH@13/04/2021@['Chăm sóc khách hàng', 'Tư vấn', 'Telesales']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
Công Ty Cổ Phần Công Nghệ Supersoft@Đồng Nai@NHÂN VIÊN KINH DOANH NỘI THẤT VÀ TỦ BẾP (THU NHẬP TỐT THƯỞNG DOANH SỐ)@14/04/2021@['Nhân viên kinh doanh', 'Quản trị kinh doanh']@10 - 15 triệu@1 - 2 năm kinh nghiệm@Không yêu cầu@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@TUYỂN NHÂN VIÊN TƯ VẤN TÀI CHÍNH TELESALE@14/04/2021@['Chăm sóc khách hàng', 'Tư vấn', 'Telesales']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
Công ty TNHH KPP Zipper VN@Tây Ninh@Nhân viên quản lý chất lượng (QC)@16/04/2021@Thẩm định - Giám thẩm định - Quản lý chất lượng@7 - 10 triệu@0 - 1 năm kinh nghiệm@Trung cấp trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@NHÂN VIÊN TƯ VẤN TÀI CHÍNH - CSKH - TELESALE@16/04/2021@['Chăm sóc khách hàng', 'Tư vấn', 'Telesales']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@CHUYÊN VIÊN TƯ VẤN CSKH@16/04/2021@['Chăm sóc khách hàng', 'Tư vấn', 'Telesales']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
Bhome@Hà Nội@Nhân viên tư vấn bán hàng@16/04/2021@['Mỹ phẩm - Thời trang - Trang sức', 'Làm đẹp - Thể lực - Spa', 'Thực phẩm - Đồ uống']@10 - 15 triệu@Không yêu cầu@Không yêu cầu@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@NHÂN VIÊN TƯ VẤN TÀI CHÍNH@16/04/2021@['Chăm sóc khách hàng', 'Telesales', 'Tư vấn']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@TUYỂN CHUYÊN VIÊN TƯ VẤN TÀI CHÍNH@17/04/2021@['Chăm sóc khách hàng', 'Tư vấn', 'Telesales']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@TUYỂN NHÂN VIÊN TƯ VẤN TÀI CHÍNH (THU NHÂP 10 - 15 TRIỆU THÁNG)@17/04/2021@['Chăm sóc khách hàng', 'Telesales', 'Nhân viên kinh doanh']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@SHINHAN BANK TUYỂN CHUYÊN VIÊN GIAO DỊCH HỖ TRỢ KHÁCH HÀNG@17/04/2021@['Chăm sóc khách hàng', 'Tư vấn', 'Telesales']@7 - 10 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
Trung tâm giáo dục hoà nhập Vkagbe@Hà Nội@nhân viên@17/04/2021@['Giáo dục - Đào tạo', 'Sinh viên làm thêm', 'Báo chí - Truyền hình']@5 - 7 triệu@0 - 1 năm kinh nghiệm@Cao đẳng trở lên@Nữ
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@TUYỂN 3 NHÂN VIÊN CSKH - NHÁNH TÂN BÌNH@18/04/2021@['Chăm sóc khách hàng', 'Tư vấn', 'Telesales']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@TUYỂN NHÂN VIÊN TƯ VẤN TÀI CHÍNH (NHẬN VIỆC NGAY)@18/04/2021@['Chăm sóc khách hàng', 'Tư vấn', 'Telesales']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@TUYỂN NHÂN VIÊN TƯ VẤN TÀI CHÍNH CSKH CÁ NHÂN@19/04/2021@['Chăm sóc khách hàng', 'Tài chính', 'Telesales']@7 - 10 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
kantar worldpanel vietnam@Hồ Chí Minh@Điều Phối Viên - Nhóm Sản Phẩm Mẹ Bé Tại Tp.HCM@19/04/2021@['Lao động phổ thông', 'Phát triển thị trường', 'Ngành nghề khác']@5 - 7 triệu@Không yêu cầu@Không yêu cầu@Nữ
Xhome - Hệ Thống Căn Hộ Cho Thuê@Hồ Chí Minh@Cộng tác viên Part-time Căn hộ cho thuê@19/04/2021@['Sinh viên mới tốt nghiệp - Thực tập', 'KD bất động sản', 'Tìm việc làm thêm']@Thỏa thuận@Không yêu cầu@Không yêu cầu@Không yêu cầu
Công Ty Cổ Phần Đầu Tư Bsk@Hồ Chí Minh@Nhân viên kinh doanh@20/04/2021@['Tài chính', 'Ngân hàng - Chứng khoán - Đầu tư', 'KD bất động sản']@15 - 20 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BẤT ĐỘNG SẢN HTLAND@Kiên Giang@Nhân Viên Kinh Doanh Bất Động Sản tại Rạch Giá@20/04/2021@KD bất động sản@5 - 7 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@CẦN TUYỂN NHÂN VIÊN TƯ VẤN TÀI CHÍNH - CSKH - TELESALE@20/04/2021@['Chăm sóc khách hàng', 'Tư vấn', 'Telesales']@7 - 10 triệu@Không yêu cầu@THPT trở lên@Nam
CTY TNHH Mỹ Phẩm Nam Việt@Hồ Chí Minh@Nhân viên bán mỹ phẩm@21/04/2021@An toàn lao động@5 - 7 triệu@Không yêu cầu@Không yêu cầu@Không yêu cầu
Công ty Minh Minh@Hà Nội@Nhân viên Nữ phục vụ bàn đi làm ngay có chỗ ở@21/04/2021@['Hành chính - Văn phòng', 'Marketing - PR', 'Tiếp thị - Quảng cáo']@20 - 30 triệu@Không yêu cầu@Không yêu cầu@Nữ
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@SHINHAN BANK TUYỂN NHÂN VIÊN TƯ VẤN (CSKH)@21/04/2021@['Chăm sóc khách hàng', 'Tư vấn', 'Telesales']@7 - 10 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@TUYỂN NHÂN VIÊN TELESALE (10 - 12 TRIỆU THÁNG)@22/04/2021@['Chăm sóc khách hàng', 'Telesales', 'Tài chính']@7 - 10 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@CẦN TUYỂN TELESALE TÀI CHÍNH@22/04/2021@['Chăm sóc khách hàng', 'Tư vấn', 'Telesales']@7 - 10 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@[GẤP] NHÂN VIÊN TƯ VẤN TÀI CHÍNH TẠI TÂN BÌNH KHÔNG YÊU CẦU BẰNG CẤP@22/04/2021@['Chăm sóc khách hàng', 'Tài chính', 'Telesales']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
Tnhh Kdg@Hà Nội@Hành Chính Nhân Sự@23/04/2021@['Marketing - PR', 'Tư vấn']@7 - 10 triệu@Không yêu cầu@THPT trở lên@Nữ
CÔNG TY CỔ PHẦN ĐẦU TƯ KINH DOANH ĐỊA ỐC TIẾN TRẦN GROUP@Hồ Chí Minh@Nhân viên Chuyển Nhượng Mua Bán Căn Hộ@23/04/2021@KD bất động sản@5 - 7 triệu@0 - 1 năm kinh nghiệm@Không yêu cầu@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@TUYỂN TELESALE (10 - 12 TRIỆU THÁNG)@23/04/2021@['Telesales', 'Tài chính', 'Chăm sóc khách hàng']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
Vietlocate@Hồ Chí Minh@Relationship Manager@23/04/2021@Bảo hiểm@20 - 30 triệu@1 - 2 năm kinh nghiệm@Đại học trở lên@Không yêu cầu
Công Ty Quảng Cáo & Sự Kiện Tân Thế Giới@Bình Định@Tuyển nhân viên quản lý và tổ chức sự kiện tại Bình Định@23/04/2021@Tổ chức sự kiện@10 - 15 triệu@2 - 5 năm kinh nghiệm@Đại học trở lên@Không yêu cầu
Trung tâm giáo dục hoà nhập Vkagbe@Hà Nội@lái xe con cho giám đốc@23/04/2021@['Lao động phổ thông', 'Vận tải - Lái xe']@7 - 10 triệu@2 - 5 năm kinh nghiệm@Chứng chỉ@Nam
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@SHINHAN BANK - TUYỂN TELESALE TÀI CHÍNH@25/04/2021@['Chăm sóc khách hàng', 'Tài chính', 'Nhân viên kinh doanh']@7 - 10 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@[ SHINHAN BANK ]- TUYỂN TELESALE TÀI CHÍNH@25/04/2021@['Chăm sóc khách hàng', 'Telesales', 'Tài chính']@7 - 10 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@[SHINHAN BANK] - TUYỂN NHÂN VIÊN CSKH CÁ NHÂN@25/04/2021@['Chăm sóc khách hàng', 'Hành chính - Văn phòng', 'Telesales']@7 - 10 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY CỔ PHẦN XÂY DỰNG ASCONS@Hồ Chí Minh@Nhân viên Bảo vệ@26/04/2021@Bảo vệ@7 - 10 triệu@Không yêu cầu@Không yêu cầu@Nam
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@[ TELESALE ] - NHÂN VIÊN TƯ VẤN TÀI CHÍNH@26/04/2021@['Chăm sóc khách hàng', 'Tư vấn', 'Telesales']@7 - 10 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
CÔNG TY BĐS PROPZY VIỆT NAM@Hồ Chí Minh@TUYỂN TELESALE [ NHÂN VIÊN TƯ VẤN ]@26/04/2021@['Chăm sóc khách hàng', 'Tư vấn', 'Tài chính']@10 - 15 triệu@Không yêu cầu@THPT trở lên@Không yêu cầu
Công Ty Tnhh Bảo Hiểm Nhân Thọ Aia Việt Nam@Hồ Chí Minh@Tuyển Dụng Nhân Viên Bán Hàng@26/04/2021@['Bảo hiểm', 'Việc làm bán hàng', 'Nhân viên kinh doanh']@7 - 10 triệu@1 - 2 năm kinh nghiệm@THPT trở lên@Không yêu cầu
Công Ty Cổ Phần Công Nghệ Supersoft@Hồ Chí Minh@Nhân viên Tiếp thị kỹ thuật số Digital Marketing@26/04/2021@Marketing - PR@10 - 15 triệu@1 - 2 năm kinh nghiệm@Không yêu cầu@Không yêu cầu
